Date,CallsOffered,CallsHandled,CallsAbandoned,AverageSpeedofAnswer,ServiceLevel,BI_ID
2024-05-23,1379,1279,76,60.50273651,0.70342772,70
2024-05-22,1742,1578,134,76.29024081,0.663529412,71
2024-05-21,1376,1269,89,79.78959811,0.700969426,72
2024-05-20,575,557,16,12.06463196,0.919298246,73
2024-05-19,343,326,15,46.89877301,0.818991098,74
2024-05-18,494,455,37,38.01098901,0.795407098,75
2024-05-17,1235,1187,41,28.8272957,0.822075783,76
2024-05-16,1216,1143,64,50.11986002,0.767284992,77
2024-05-15,1319,1243,63,45.90024135,0.773219814,78
2024-05-14,1354,1304,44,35.32515337,0.832960477,79
2024-05-13,1432,1353,70,45.20990392,0.750357654,80
2024-05-12,339,324,12,15.83024691,0.912386707,81
2024-05-11,428,414,13,15.70289855,0.90736342,82
2024-05-10,1227,1188,37,30.21717172,0.861640431,83
2024-05-09,1264,1203,47,38.25187032,0.823954984,84
2024-05-08,1276,1229,37,33.68755085,0.825258141,85
2024-05-07,1305,1191,94,69.92611251,0.71696638,86
2024-05-06,1435,1283,120,113.974279,0.558255897,87
2024-05-05,290,282,7,12.42907801,0.926573427,88
2024-05-04,480,462,19,18.32034632,0.882729211,89
2024-05-03,1185,1084,85,89.8302583,0.62456446,90
2024-05-02,1241,1179,50,49.51823579,0.742014742,91
2024-05-01,1345,1217,109,90.66064092,0.685823755,92
2024-04-30,1283,1259,20,20.92216044,0.887401575,93
2024-04-29,1367,1324,34,34.20619335,0.851000741,94
2024-04-28,276,270,4,12.94074074,0.915441176,95
2024-04-27,376,371,5,4.506738544,0.967828418,96
2024-04-26,1141,1021,99,136.036239,0.557155716,97
2024-04-25,1227,1155,66,46.42943723,0.773522065,98
2024-04-24,1251,1218,31,25.50082102,0.865695793,99
2024-04-23,1339,1269,57,37.84318361,0.829138063,100
2024-04-22,1346,1252,76,74.14776358,0.690674754,101
2024-04-21,374,371,3,1.361185984,0.989247312,102
2024-04-20,461,455,7,7.257142857,0.947483589,103
2024-04-19,1216,1113,77,105.1419587,0.628140704,104
2024-04-18,1210,1119,78,70.81769437,0.693094629,105
2024-04-17,1255,1191,59,45.46935348,0.773279352,106
2024-04-16,1296,1234,54,37.97811994,0.800157356,107
2024-04-15,1348,1259,70,72.39634631,0.719391635,108
2024-04-14,350,345,5,9.982608696,0.939481268,109
2024-04-13,509,490,17,23.66734694,0.872255489,110
2024-04-12,1129,1058,60,62.23534972,0.74368231,111
2024-04-11,1154,1080,68,48.97037037,0.767936227,112
2024-04-10,1257,1166,77,73.84133791,0.687296417,113
2024-04-09,1191,1115,62,79.86008969,0.704680851,114
2024-04-08,1279,1147,110,138.7959895,0.556179775,115
2024-04-07,309,305,6,6.91147541,0.944444444,116
2024-04-06,415,409,5,7.640586797,0.953995157,117
2024-04-05,1283,1182,89,87.09221658,0.693045564,118
2024-04-04,1316,1160,116,110.2422414,0.588880188,119
2024-04-03,1347,1267,70,65.9558011,0.712765957,120
2024-04-02,1366,1268,78,57.4873817,0.720599251,121
2024-04-01,799,790,9,5.307594937,0.967213115,122
2024-03-31,388,369,18,18,0.8668,123
2024-03-30,404,402,1,3,0.9851,124
2024-03-29,558,544,13,11,0.9164,125
2024-03-28,1107,1003,85,79,0.6898,126
2024-03-27,1167,1086,74,92,0.7342,127
2024-03-26,1223,1155,61,56,0.7279,128
2024-03-25,1259,1100,131,160,0.5454,129
2024-03-24,322,317,5,15,0.9211,130
2024-03-23,383,379,4,12,0.9396,131
2024-03-22,1078,953,98,124,0.5908,132
2024-03-21,1142,966,143,199,0.4695,133
2024-03-20,1304,1169,112,72,0.6775,134
2024-03-19,1364,1168,170,141,0.5828,135
2024-03-18,1344,1173,140,140,0.5429,136
2024-03-17,299,283,16,35,0.8277,137
2024-03-16,353,311,38,59,0.649,138
2024-03-15,1077,959,98,130,0.5377,139
2024-03-14,1203,1054,129,155,0.5829,140
2024-03-13,1190,1061,109,98,0.5934,141
2024-03-12,1238,1116,103,143,0.5835,142
2024-03-11,1299,1107,159,184,0.4535,143
2024-03-10,249,231,17,41,0.8408,144
2024-03-09,393,380,11,26,0.8711,145
2024-03-08,1103,1014,77,82,0.6902,146
2024-03-07,1238,1150,74,63,0.6905,147
2024-03-06,1183,1096,69,67,0.7274,148
2024-03-05,1234,1181,43,36,0.8179,149
2024-03-04,1202,1116,69,71,0.7166,150
2024-03-03,211,209,2,7,0.9571,151
2024-03-02,400,398,2,5,0.9674,152
2024-03-01,1150,1082,55,59,0.6988,153
2024-02-29,1227,1136,80,71.37764085,0.696563286,154
2024-02-28,1196,1062,120,133.1949153,0.580172414,155
2024-02-27,1266,1195,53,54.92133891,0.765511684,156
2024-02-26,1432,1261,144,157.40682,0.532804614,157
2024-02-25,323,305,19,31.33770492,0.806962025,158
2024-02-24,354,353,1,3.807365439,0.97740113,159
2024-02-23,1179,1088,74,60.72886029,0.723867596,160
2024-02-22,1311,1213,87,57.43446002,0.730046948,161
2024-02-21,1222,1149,63,60.88685814,0.732606873,162
2024-02-20,1418,1294,95,101.8330757,0.595203488,163
2024-02-19,488,481,5,7.806652807,0.952674897,164
2024-02-18,270,258,10,15.95348837,0.909433962,165
2024-02-17,399,380,18,34.53421053,0.823076923,166
2024-02-16,1223,1103,99,133.3916591,0.601175483,167
2024-02-15,1357,1111,218,274.0333033,0.415564202,168
2024-02-14,1326,1218,88,89.83087028,0.630888031,169
2024-02-13,1335,1284,43,38.17990654,0.819359756,170
2024-02-12,1465,1307,135,106.0359602,0.633802817,171
2024-02-11,259,248,8,22.59274194,0.878431373,172
2024-02-10,439,421,19,17.56769596,0.890186916,173
2024-02-09,1231,1171,51,61.65243382,0.734710744,174
2024-02-08,1254,1192,49,36.36409396,0.791396104,175
2024-02-07,1366,1215,132,122.8559671,0.580669711,176
2024-02-06,1528,1314,178,156.5509893,0.537457045,177
2024-02-05,1661,1513,126,122.8215466,0.67992542,178
2024-02-04,358,332,25,59.0060241,0.796511628,179
2024-02-03,537,521,16,19.91746641,0.869318182,180
2024-02-02,1834,1703,100,80.64180857,0.669286917,181
2024-02-01,1795,1679,97,83.81596188,0.702947846,182
2024-01-31,1920,1772,118,85,0.635142397,183
2024-01-30,1866,1753,90,81,0.6966046,184
2024-01-29,2044,1795,199,180,0.536326942,185
2024-01-28,427,392,33,61,0.738095238,186
2024-01-27,555,547,7,8,0.945255474,187
2024-01-26,1747,1677,57,51,0.787332946,188
2024-01-25,1783,1740,34,33,0.817509949,189
2024-01-24,1771,1621,122,107,0.616414435,190
2024-01-23,2256,1969,239,180,0.552703941,191
2024-01-22,2415,2162,225,159,0.595899188,192
2024-01-21,631,592,34,38,0.752039152,193
2024-01-20,638,611,26,37,0.782608696,194
2024-01-19,1704,1528,142,163.335733,0.53804017,195
2024-01-18,1511,1468,37,17.32765668,0.891348089,196
2024-01-17,1482,1424,54,23.05828652,0.883928571,197
2024-01-16,1526,1481,34,37.81093856,0.864238411,198
2024-01-15,1731,1660,58,35.41626506,0.814487633,199
2024-01-14,439,415,20,49.11807229,0.818823529,200
2024-01-13,485,482,3,4.197095436,0.977178423,201
2024-01-12,1292,1221,58,69.06879607,0.755327545,202
2024-01-11,1549,1496,46,28.0434492,0.876892693,203
2024-01-10,1366,1354,10,6.080502216,0.963997061,204
2024-01-09,1437,1402,26,23.21112696,0.89754386,205
2024-01-08,1569,1518,42,32.99275362,0.836351876,206
2024-01-07,306,298,7,12,0.92384106,207
2024-01-06,430,423,7,8.735224586,0.936915888,208
2024-01-05,1334,1323,11,11.86999244,0.941441441,209
2024-01-04,1343,1290,45,33.26744186,0.833836858,210
2024-01-03,1422,1374,39,29.84425036,0.866477273,211
2024-01-02,1425,1404,20,12.13461538,0.93064402,212
2024-01-01,289,289,0,0.283737024,1,213
